Timestamp,Object,Confidence
2026-08-13 17:50:05.943528,person,0.27
2026-08-13 17:50:05.943528,car,0.26
2026-08-13 17:50:06.052922,car,0.73
2026-08-13 17:50:06.052922,car,0.67
2026-08-13 17:50:06.052922,car,0.67
2026-08-13 17:50:06.052922,bus,0.66
2026-08-13 17:50:06.052922,car,0.64
2026-08-13 17:50:06.052922,motorcycle,0.61
2026-08-13 17:50:06.052922,car,0.61
2026-08-13 17:50:06.052922,car,0.6
2026-08-13 17:50:06.052922,car,0.59
2026-08-13 17:50:06.052922,car,0.51
2026-08-13 17:50:06.052922,bus,0.5
2026-08-13 17:50:06.052922,bus,0.47
2026-08-13 17:50:06.052922,car,0.43
2026-08-13 17:50:06.052922,car,0.38
2026-08-13 17:50:06.052922,car,0.37
2026-08-13 17:50:06.054930,car,0.36
2026-08-13 17:50:06.054930,car,0.36
2026-08-13 17:50:06.054930,person,0.34
2026-08-13 17:50:06.054930,truck,0.33
2026-08-13 17:50:06.054930,car,0.28
2026-08-13 17:50:06.054930,car,0.27
2026-08-13 17:50:06.180857,car,0.72
2026-08-13 17:50:06.180857,car,0.67
2026-08-13 17:50:06.180857,bus,0.66
2026-08-13 17:50:06.182862,car,0.65
2026-08-13 17:50:06.182862,car,0.6
2026-08-13 17:50:06.182862,car,0.6
2026-08-13 17:50:06.182862,car,0.57
2026-08-13 17:50:06.182862,car,0.55
2026-08-13 17:50:06.182862,motorcycle,0.53
2026-08-13 17:50:06.182862,car,0.51
2026-08-13 17:50:06.182862,bus,0.49
2026-08-13 17:50:06.182862,car,0.46
2026-08-13 17:50:06.182862,bus,0.45
2026-08-13 17:50:06.182862,car,0.42
2026-08-13 17:50:06.182862,truck,0.4
2026-08-13 17:50:06.182862,car,0.39
2026-08-13 17:50:06.182862,truck,0.38
2026-08-13 17:50:06.184867,car,0.36
2026-08-13 17:50:06.184867,car,0.33
2026-08-13 17:50:06.184867,person,0.33
2026-08-13 17:50:06.184867,bus,0.27
2026-08-13 17:50:06.298972,car,0.72
2026-08-13 17:50:06.298972,car,0.66
2026-08-13 17:50:06.298972,car,0.65
2026-08-13 17:50:06.298972,bus,0.6
2026-08-13 17:50:06.300488,car,0.58
2026-08-13 17:50:06.300488,car,0.57
2026-08-13 17:50:06.300488,car,0.55
2026-08-13 17:50:06.300488,car,0.54
2026-08-13 17:50:06.300488,bus,0.54
